Date,Return,Cont_monthly
199501,0.026708103,0.026357668
199502,0.045771989,0.044755359
199503,-0.007905253,-0.007936665
199504,0.039513985,0.038753282
199505,0.017668501,0.017514228
199506,0.019415952,0.019229868
199507,-0.021321293,-0.021551876
199508,0.002900261,0.002896063
199509,-0.015585592,-0.015708324
199510,0.045299603,0.044303546
199511,0.011220244,0.011157764
199512,0.054078689,0.052667105
199601,-0.006984081,-0.007008584
199602,0.007519632,0.007491501
199603,0.035346464,0.034736118
199604,0.019411231,0.019225236
199605,-0.038559738,-0.039322846
199606,-0.022779069,-0.02304252
199607,0.043455266,0.042537578
199608,0.028716452,0.028311862
199609,0.058154203,0.056526072
199610,0.074641067,0.071986714
199611,-0.014908537,-0.015020786
199612,0.030808183,0.030343138
199701,0.007889175,0.007858219
199702,-0.049952844,-0.051243657
199703,0.021606082,0.021375979
199704,0.067847939,0.065645351
199705,0.008711881,0.008674152
199706,0.068347389,0.066112958
199707,-0.038661236,-0.03942842
199708,0.064793309,0.062780705
199709,-0.028095834,-0.028498074
199710,-0.048170248,-0.049369092
199711,0.028651287,0.028248514
199712,0.000119457,0.00011945
199801,0.05855046,0.056900482
199802,0.065703208,0.06363487
199803,0.014090097,0.013991755
199804,-0.009810854,-0.009859297
199805,-0.029368351,-0.029808235
199806,-0.059115775,-0.060935181
199807,-0.202080348,-0.225747374
199808,0.015079447,0.014966883
199809,0.105840597,0.100605767
199810,0.021841744,0.021606631
199811,0.022383708,0.022136869
199812,0.037573845,0.036885146
199901,-0.061950175,-0.063952213
199902,0.045162862,0.044172722
199903,0.06318779,0.061271744
199904,-0.024648294,-0.024957149
199905,0.024598833,0.024301154
199906,0.010113964,0.01006316
199907,-0.015562801,-0.015685173
199908,-0.001879212,-0.00188098
199909,0.042902107,0.042007315
199910,0.036796118,0.036135303
199911,0.118380421,0.111881587
199912,0.007998741,0.00796692
200001,0.076393442,0.073616047
200002,0.03652102,0.035869932
200003,-0.012132311,-0.012206508
200004,-0.010227183,-0.01027984
200005,0.101977951,0.097106702
200006,0.020675769,0.020464927
200007,0.080874144,0.077770106
200008,-0.077347769,-0.080502897
200009,-0.071141633,-0.073799009
200010,-0.085034571,-0.088868997
200011,0.012902618,0.012820088
200012,0.043453461,0.042535848
200101,-0.133363386,-0.14313552
200102,-0.058264347,-0.060030667
200103,0.044505796,0.043543851
200104,0.027093323,0.026732796
200105,-0.05213247,-0.053540523
200106,-0.006036362,-0.006054654
200107,-0.037777806,-0.038509884
200108,-0.075764959,-0.078788866
200109,0.006887389,0.006863779
200110,0.078423397,0.075500157
200111,0.035377096,0.034765704
200112,-0.005189624,-0.005203137
200201,-0.00143819,-0.001439226
200202,0.02801964,0.027634272
200203,-0.023957218,-0.02424886
200204,-0.000952554,-0.000953008
200205,-0.066678857,-0.069005932
200206,-0.075598996,-0.078609315
200207,0.000999197,0.000998698
200208,-0.065275272,-0.067503202
200209,0.011067229,0.011006436
200210,0.051465899,0.050185284
200211,0.006711935,0.00668951
200212,-0.006803235,-0.006826483
200301,-0.002191933,-0.002194339
200302,-0.032310764,-0.032844281
200303,0.038276654,0.037562275
200304,0.041557174,0.040716876
200305,0.017974328,0.0178147
200306,0.039352122,0.038597559
200307,0.034775886,0.034184868
200308,-0.011876984,-0.011948078
200309,0.047378433,0.046290312
200310,0.011154387,0.011092636
200311,0.04599594,0.044969485
200312,0.036553174,0.035900953
200401,0.031344567,0.030863356
200402,-0.023052809,-0.02332268
200403,-0.039821146,-0.040635705
200404,0.021021325,0.020803426
200405,0.015242394,0.015127396
200406,-0.010239188,-0.010291969
200407,-0.009588396,-0.009634661
200408,0.034773762,0.034182815
200409,0.023384078,0.023114859
200410,0.0179348,0.017775869
200411,0.023986511,0.023703354
200412,-0.004607112,-0.004617758
200501,0.050434069,0.049203478
200502,-0.005781721,-0.0057985
200503,-0.02529031,-0.025615606
200504,0.025402112,0.02508484
200505,0.030757862,0.03029432
200506,0.052520559,0.05118782
200507,0.023601876,0.023327658
200508,0.03214009,0.031634404
200509,-0.057075139,-0.05876868
200510,0.042452767,0.041576366
200511,0.041407619,0.040573278
200512,0.059730473,0.058014605
200601,-0.021539296,-0.021774652
200602,0.036130131,0.035492745
200603,0.007728815,0.007699101
200604,-0.037667376,-0.038395125
200605,-0.011205212,-0.011268463
200606,0.018780804,0.018606622
200607,0.02052234,0.020314594
200608,-0.02588249,-0.026223336
200609,0.049594842,0.048404225
200610,0.033034752,0.032500831
200611,0.012232991,0.012158773
200612,0.009737784,0.009690678
200701,0.000836298,0.000835948
200702,0.009237256,0.009194853
200703,0.019080186,0.018900442
200704,0.047709168,0.046606036
200705,-0.010685234,-0.010742731
200706,-0.002732516,-0.002736256
200707,-0.015005092,-0.015118807
200708,0.032092558,0.031588351
200709,0.037314939,0.036635585
200710,-0.063993189,-0.066132526
200711,0.010519319,0.010464376
200712,-0.049012876,-0.050254756
200801,0.032504549,0.031987452
200802,-0.017124768,-0.017273092
200803,0.043962248,0.043023328
200804,0.055801119,0.054299833
200805,-0.01683352,-0.016976814
200806,-0.06042024,-0.062322567
200807,0.013124455,0.013039076
200808,-0.146565643,-0.15848665
200809,-0.169328465,-0.185520827
200810,-0.050415885,-0.051731164
200811,-0.030515762,-0.030991063
200812,-0.032577834,-0.033120306
200901,-0.065774231,-0.068037148
200902,0.073544305,0.070965609
200903,0.069308677,0.067012343
200904,0.1120989,0.106249131
200905,0.000462945,0.000462838
200906,0.039740122,0.038970799
200907,0.007508899,0.007480848
200908,0.048471669,0.047333551
200909,-0.042492338,-0.043421556
200910,0.049162335,0.047992069
200911,0.026111137,0.025776062
200912,-0.055490744,-0.057089792
201001,0.048249985,0.047122093
201002,0.035091542,0.034489869
201003,0.014371516,0.014269225
201004,-0.03666458,-0.037353621
201005,-0.039836743,-0.04065195
201006,0.03709803,0.036426457
201007,0.017117147,0.0169723
201008,0.03817388,0.037463285
201009,0.024861141,0.024557131
201010,0.021828323,0.021593497
201011,0.037852511,0.037153685
201012,0.008093296,0.008060721
201101,0.043130165,0.042225967
201102,-0.001443101,-0.001444143
201103,-0.012135066,-0.012209297
201104,-0.010175794,-0.010227922
201105,-0.036369168,-0.037047012
201106,-0.026712536,-0.0270758
201107,-0.01366483,-0.013759053
201108,-0.0896646,-0.093942175
201109,0.054052876,0.052642615
201110,-0.003917696,-0.00392539
201111,-0.02040298,-0.020613996
201112,0.041580631,0.040739397
201201,0.015402885,0.015285465
201202,-0.019914569,-0.020115536
201203,-0.008029244,-0.008061652
201204,-0.063411617,-0.065511386
201205,0.007243808,0.007217698
201206,0.005872462,0.005855286
201207,0.024398365,0.024105479
201208,0.030813537,0.030348332
201209,0.008556963,0.00852056
201210,-0.014771108,-0.014881287
201211,0.015858588,0.015734154
201212,0.020243712,0.020041532
201301,0.010768424,0.010710857
201302,-0.005607591,-0.005623373
201303,-0.023011975,-0.023280884
201304,0.015566202,0.015446291
201305,-0.041208244,-0.042081374
201306,0.02947457,0.029048546
201307,0.013398426,0.013309461
201308,0.010534286,0.010479187
201309,0.044896428,0.043917768
201310,0.002552191,0.002548939
201311,0.016886335,0.016745346
201312,0.005381217,0.00536679
201401,0.037583276,0.036894236
201402,0.008846146,0.008807248
201403,0.022085383,0.021845033
201404,-0.003255564,-0.003260875
201405,0.037098903,0.036427299
201406,0.012194652,0.012120896
201407,0.019242435,0.01905964
201408,-0.042570905,-0.043503613
201409,-0.023207794,-0.023481335
201410,0.008991836,0.00895165
201411,-0.007616283,-0.007645435
201412,0.002808808,0.002804871
201501,0.038218544,0.037506306
201502,-0.021786325,-0.022027152
201503,0.021613941,0.021383672
201504,-0.013819856,-0.013916239
201505,-0.030691138,-0.031171975
